ICD10,n_of_positive_patient,n_of_negative_patient,DIAGNOSIS_DESCRIPTION,LLM_selected,confidence,rationale
A30,2,43,Leprosy [Hansen's disease],0,0.8,"Leprosy is an infectious disease caused by Mycobacterium leprae with no clinically plausible connection to OUD risk factors like pain, substance use vulnerabilities, or opioid exposure pathways. The 4.44% prevalence among 45 patients provides insufficient statistical signal to overcome the lack of biological or clinical rationale for predicting future OUD development."
A31,95,4072,Infection due to other mycobacteria,0,0.8,"While A31 infections could theoretically lead to pain requiring opioid treatment, the association is weak and indirect. The 2.28% OUD prevalence is only slightly above baseline population rates. These rare mycobacterial infections are more likely related to immunocompromised states or specific exposures rather than factors directly predictive of OUD risk. Limited clinical plausibility for meaningful predictive value."
A35,2,271,Other tetanus,0,0.8,"Other tetanus is an acute infectious disease with no clinically plausible connection to OUD risk factors like pain, substance use, or related vulnerabilities. The 0.73% OUD prevalence is below baseline population rates, suggesting no predictive signal. Tetanus occurs through wound contamination and has no meaningful biological or behavioral pathway to future opioid use disorder."
A36,7,329,Diphtheria,0,0.9,"Diphtheria is a rare infectious disease with no clinically plausible connection to opioid use disorder risk factors. The 2.08% OUD prevalence is likely coincidental given the small sample size (7 cases). This diagnosis lacks biological or behavioral mechanisms that would predict future substance use disorders, making it uninformative for OUD prediction."
A37,8,454,Whooping cough,0,0.8,"Whooping cough is a bacterial respiratory infection primarily affecting infants and children, with no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities. The 1.73% OUD prevalence is likely coincidental given the small sample size (8 patients). This infectious disease diagnosis lacks biological or behavioral pathways that would predict future OUD risk."
A38,2,682,Scarlet fever,0,0.9,"Scarlet fever is an acute bacterial infection caused by group A Streptococcus, primarily affecting children. It has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict future OUD risk. The extremely low prevalence (0.29%) and lack of biological mechanism linking this infectious disease to opioid use disorder make it unsuitable as a predictive feature."
Z97,252,16646,Presence of other devices,1,0.7,"Medical devices often indicate chronic conditions requiring pain management or complex medical care, creating opioid exposure risk. The 1.49% OUD prevalence suggests modest predictive signal. While broad, this category captures patients with ongoing medical complexity who may face higher opioid prescription rates. Not a direct consequence of OUD itself."
Z98,9245,792441,Other postprocedural states,1,0.7,"Postprocedural states often involve surgical recovery requiring opioid pain management, creating legitimate exposure risk for future OUD. The 1.15% prevalence suggests modest predictive signal. While broad, this code captures patients with recent procedures who may have heightened opioid exposure vulnerability. Not primarily a consequence of existing OUD, making it appropriate for predictive modeling."
Z99,4996,255504,"Dependence on enabling machines and devices, not elsewhere classified",1,0.75,"Dependence on enabling machines/devices (ventilators, dialysis, etc.) indicates severe chronic medical conditions requiring intensive care. These patients likely have significant pain, frequent healthcare exposure, and medical complexity that increases opioid exposure risk. The 1.92% OUD prevalence suggests modest predictive signal. This represents underlying medical vulnerability rather than OUD consequence."
nan,26503,1973191,nan,0,1.0,"Cannot evaluate diagnosis with missing ICD-10 code and description (both 'nan'). Without knowing what medical condition this represents, it's impossible to assess predictive relevance, clinical plausibility, or potential for label leakage. Missing diagnostic information makes this feature unusable for model development."
A00,0,42,Cholera,0,0.9,"Cholera is an acute infectious diarrheal disease with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 42 patients, it shows no statistical signal for prediction. This infectious disease is unrelated to pain conditions, substance use vulnerabilities, or other pathways leading to OUD development."
A20,0,32,Plague,0,0.95,"Plague is an acute infectious disease caused by Yersinia pestis with no clinically plausible connection to OUD risk factors like pain, substance use, or opioid exposure. With 0% OUD prevalence among 32 patients, there's no statistical signal for predictive value. The diagnosis is unrelated to behavioral, psychological, or medical conditions that predispose to opioid use disorder."
A21,0,61,Tularemia,0,0.9,"Tularemia is a rare bacterial infection from animal/tick exposure with no clinical connection to opioid use, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 61 patients, it shows no predictive signal. This infectious disease has no plausible pathway to OUD risk and would add noise without predictive value."
A23,0,89,Brucellosis,0,0.9,"Brucellosis is a rare bacterial infection from animal contact with no clinically plausible connection to OUD risk factors like pain, substance use, or opioid exposure. With 0% OUD prevalence among 89 patients, it shows no statistical signal for prediction. The diagnosis lacks any meaningful pathway to future opioid use disorder development."
A24,0,45,Glanders and melioidosis,0,0.9,"Glanders and melioidosis are rare infectious diseases caused by specific bacteria (Burkholderia mallei and pseudomallei). These infections have no plausible clinical connection to opioid use, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 45 patients, there's no statistical signal for predictive value. The diagnosis lacks any mechanistic pathway to OUD risk."
A26,0,38,Erysipeloid,0,0.9,"Erysipeloid is a rare bacterial skin infection typically acquired through occupational exposure to infected animals or fish. With 0% OUD prevalence among 38 patients, it shows no statistical signal for OUD prediction. There is no clinically plausible connection between this specific occupational skin infection and opioid use disorder risk factors."
A27,0,52,Leptospirosis,0,0.9,"Leptospirosis is a bacterial infection from contaminated water/soil with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 52 patients, it shows no statistical signal for prediction. This acute infectious disease lacks any mechanistic relationship to pain conditions, substance use vulnerabilities, or opioid exposure pathways that would make it relevant for OUD prediction."
A32,0,160,Listeriosis,0,0.9,"Listeriosis is a bacterial infection typically from contaminated food, with no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities. The 0% OUD prevalence among 160 patients provides no predictive signal. This infectious disease diagnosis lacks any reasonable pathway to predict future OUD risk."
A33,0,2,Tetanus neonatorum,0,0.95,"Tetanus neonatorum is a neonatal infection occurring in newborns, typically within the first month of life. This diagnosis has no clinical plausibility for predicting future OUD risk, as it affects infants who cannot develop substance use disorders. The 0% OUD prevalence among the 2 patients confirms no predictive signal. This diagnosis is completely unrelated to opioid exposure or addiction vulnerabilities."
A34,0,1,Obstetrical tetanus,0,0.9,"Obstetrical tetanus is an extremely rare infection occurring during childbirth in unvaccinated women, primarily in developing countries with poor sanitation. It has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. With only 1 patient and 0% OUD prevalence, it provides no predictive signal."
A44,0,79,Bartonellosis,0,0.9,"Bartonellosis is a rare bacterial infection transmitted by arthropods with no clinically plausible connection to opioid use disorder risk factors. With 0% OUD prevalence among 79 patients, it shows no statistical signal for predictive value. The infection has no known association with pain conditions, substance use vulnerabilities, or opioid exposure pathways that would make it relevant for OUD prediction."
A65,0,4,Nonvenereal syphilis,0,0.9,"Nonvenereal syphilis (yaws, bejel, pinta) is a rare tropical infectious disease with no clinically plausible connection to opioid use, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among the 4 patients and no biological or behavioral pathway linking this condition to future OUD risk, it provides no predictive value."
A66,0,84,Yaws,0,0.9,"Yaws is a tropical infectious disease caused by Treponema pallidum subspecies pertenue, primarily affecting skin, bone, and cartilage. It has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. With 0% OUD prevalence among 84 patients, there's no statistical signal for predictive value."
A67,0,13,Pinta [carate],0,0.95,"Pinta is a rare tropical infectious disease caused by Treponema carateum, primarily affecting skin in endemic areas. It has no clinical relationship to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 13 patients, it shows no predictive signal and lacks any plausible biological or clinical pathway to OUD risk."
A71,0,35,Trachoma,0,0.9,"Trachoma is a chronic infectious eye disease caused by Chlamydia trachomatis, primarily occurring in poor tropical regions. It has no plausible clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 35 patients, it shows no statistical signal for predictive value and lacks any mechanistic pathway to OUD risk."
A75,0,32,Typhus fever,0,0.9,"Typhus fever is a rare infectious disease transmitted by arthropods with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 32 patients, it shows no statistical signal for predictive value. The diagnosis relates to infectious disease exposure rather than pain, substance use vulnerabilities, or other OUD risk pathways."
A82,0,48,Rabies,0,0.95,"Rabies is an acute viral infection with no plausible clinical connection to OUD risk factors like chronic pain, substance use vulnerabilities, or opioid exposure patterns. With 0% OUD prevalence among 48 patients, there's no statistical signal for predictive value. The diagnosis is unrelated to pathways leading to opioid use disorder."
A84,0,19,Tick-borne viral encephalitis,0,0.9,"Tick-borne viral encephalitis is a specific infectious disease with no clear clinical pathway to OUD risk. With 0% OUD prevalence among 19 patients, there's no statistical signal for predictive value. This acute neurological condition lacks plausible connection to opioid exposure patterns, pain syndromes, or substance use vulnerabilities that would inform OUD prediction."
A90,0,73,Dengue fever [classical dengue],0,0.9,"Dengue fever is an acute viral infection transmitted by mosquitoes, with no plausible clinical connection to opioid use disorder risk factors. The 0% OUD prevalence among 73 patients provides no predictive signal. This infectious disease diagnosis lacks any mechanistic relationship to pain conditions, substance use vulnerabilities, or opioid exposure pathways that would make it relevant for OUD prediction."
A91,0,1,Dengue hemorrhagic fever,0,0.9,"Dengue hemorrhagic fever is a tropical infectious disease with no plausible clinical connection to opioid use disorder risk factors. With only 1 patient (0% OUD prevalence), there's no statistical signal for predictive value. This acute viral condition doesn't relate to pain management, substance use vulnerabilities, or other OUD risk pathways."
A94,0,14,Unspecified arthropod-borne viral fever,0,0.9,"Unspecified arthropod-borne viral fever has no clinically plausible connection to OUD risk factors like pain, substance use, or related vulnerabilities. With 0% OUD prevalence among 14 patients, there's no statistical signal for predictive value. This acute infectious disease diagnosis lacks any meaningful pathway to future opioid use disorder development."
A95,0,9,Yellow fever,0,0.9,"Yellow fever is a rare tropical infectious disease with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 9 patients, it shows no predictive signal. The diagnosis relates to mosquito-borne viral infection, not pain conditions, substance use vulnerabilities, or other pathways leading to opioid exposure."
A96,0,4,Arenaviral hemorrhagic fever,0,0.9,"Arenaviral hemorrhagic fever is a rare infectious disease caused by arenaviruses, with no clinically plausible connection to opioid use disorder risk factors. The 0% OUD prevalence among 4 patients provides no predictive signal. This acute infectious condition has no meaningful relationship to pain, substance use vulnerabilities, or other OUD risk pathways."
A98,0,15,"Other viral hemorrhagic fevers, not elsewhere classified",0,0.9,"Other viral hemorrhagic fevers is a rare, acute infectious disease with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 15 patients, it shows no statistical signal for prediction. This diagnosis relates to exotic viral infections rather than pain, substance use vulnerabilities, or other OUD risk pathways."
A99,0,4,Unspecified viral haemorrhagic fever,0,0.9,"Unspecified viral hemorrhagic fever is an acute infectious disease with no plausible clinical connection to opioid use disorder risk factors. The diagnosis shows 0% OUD prevalence (0/4 patients), providing no predictive signal. This rare, specific infectious condition is unrelated to pain, substance use vulnerabilities, or other OUD risk pathways."
B03,0,10,Smallpox,0,0.95,"Smallpox is an eradicated disease with no modern clinical relevance. The 10 cases likely represent coding errors, historical records, or vaccination-related codes. There is no plausible biological or clinical mechanism linking smallpox to OUD risk. The 0% OUD prevalence provides no predictive signal, and including this feature would add noise without benefit."
B04,0,1,Monkeypox,0,0.9,"Monkeypox is a viral infection with no clinically plausible connection to opioid use disorder risk factors. The extremely limited data (1 patient, 0% OUD prevalence) provides no statistical signal for predictive value. This acute infectious disease lacks any reasonable pathway to influence future OUD development through pain, substance use vulnerabilities, or related mechanisms."
B06,0,114,Rubella [German measles],0,0.9,"Rubella is a viral infection with no plausible clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 114 patients, it shows no statistical signal for predictive value. This acute infectious disease has no mechanistic pathway to future OUD risk and would likely add noise rather than signal to the model."
B41,0,6,Paracoccidioidomycosis,0,0.9,"Paracoccidioidomycosis is a rare fungal infection endemic to Latin America with no clinical connection to opioid use, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 6 patients, it shows no predictive signal. This specific infectious disease lacks any plausible pathway to influence OUD risk."
B42,0,47,Sporotrichosis,0,0.9,"Sporotrichosis is a rare fungal infection typically acquired through skin contact with contaminated plant matter or soil. It has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 47 patients, it shows no predictive signal and would not contribute meaningful information for OUD risk prediction."
B50,0,60,Plasmodium falciparum malaria,0,0.9,"Plasmodium falciparum malaria is a parasitic infection with no clinically plausible connection to OUD risk factors like pain, substance use vulnerabilities, or opioid exposure pathways. The 0% OUD prevalence among 60 patients provides no predictive signal. This tropical disease diagnosis lacks any meaningful biological or behavioral relationship to future opioid use disorder development."
B51,0,17,Plasmodium vivax malaria,0,0.9,"Plasmodium vivax malaria is a specific infectious disease with no clinically plausible connection to opioid use disorder risk factors. The 0% OUD prevalence among 17 patients provides no predictive signal. This tropical parasitic infection is unrelated to pain conditions, substance use vulnerabilities, or other pathways leading to OUD development."
B52,0,14,Plasmodium malariae malaria,0,0.9,"Plasmodium malariae malaria is a specific infectious disease with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 14 patients, it shows no statistical signal for prediction. This tropical parasitic infection is unrelated to pain conditions, substance use vulnerabilities, or other pathways leading to OUD development."
B53,0,13,Other specified malaria,0,0.9,"Other specified malaria (B53) has no plausible clinical connection to OUD risk factors like pain, substance use, or opioid exposure pathways. With 0% OUD prevalence among 13 patients, it shows no statistical signal for prediction. Malaria is an infectious disease unrelated to addiction vulnerabilities or opioid prescribing patterns, making it clinically irrelevant for OUD prediction."
B55,0,62,Leishmaniasis,0,0.9,"Leishmaniasis is a parasitic infection with no plausible clinical connection to opioid use disorder risk factors. With 0% OUD prevalence among 62 patients, it shows no statistical signal for predictive value. This tropical disease lacks any mechanistic relationship to pain conditions, substance use vulnerabilities, or opioid exposure pathways that would make it relevant for OUD prediction."
B57,0,40,Chagas' disease,0,0.9,"Chagas' disease is a parasitic infection primarily found in Latin America with no clinically plausible connection to opioid use disorder risk factors. The 0% OUD prevalence among 40 patients provides no predictive signal. This tropical disease relates to vector-borne transmission rather than pain, substance use vulnerabilities, or other OUD risk pathways."
B64,0,18,Unspecified protozoal disease,0,0.9,"Unspecified protozoal disease shows no statistical signal for OUD prediction (0% prevalence among 18 patients vs baseline). No clear clinical pathway connects protozoal infections to opioid use risk. The diagnosis is too rare and clinically unrelated to pain, substance use, or OUD vulnerabilities to provide meaningful predictive value."
B66,0,28,Other fluke infections,0,0.9,"Other fluke infections (B66) are parasitic infections with no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. The 0% OUD prevalence among 28 patients provides no statistical signal for predictive value. This rare infectious disease diagnosis lacks any meaningful pathway to future opioid use disorder."
B70,0,5,Diphyllobothriasis and sparganosis,0,0.9,"Diphyllobothriasis and sparganosis are parasitic infections with no plausible clinical connection to opioid use, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among affected patients and no mechanistic pathway linking parasitic infections to future opioid risk, this diagnosis lacks both statistical signal and clinical relevance for OUD prediction."
B71,0,40,Other cestode infections,0,0.9,"Other cestode infections (parasitic worm infections) have no clinically plausible connection to opioid use disorder risk factors like pain, substance use vulnerabilities, or opioid exposure pathways. With 0% OUD prevalence among 40 patients, there's no statistical signal for predictive value. This rare parasitic infection is unrelated to OUD development mechanisms."
B72,0,1,Dracunculiasis,0,0.95,"Dracunculiasis is a parasitic infection caused by guinea worm, extremely rare in developed countries and unrelated to opioid use, pain conditions, or substance abuse vulnerabilities. With only 1 patient (0% OUD rate), it provides no predictive signal and has no clinical plausibility for OUD risk prediction."
B75,0,53,Trichinellosis,0,0.9,"Trichinellosis is a rare parasitic infection from undercooked meat consumption, with no clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 53 patients, it shows no predictive signal. The diagnosis lacks any plausible pathway to OUD risk and would not contribute meaningful information to the predictive model."
B77,0,49,Ascariasis,0,0.9,"Ascariasis is a parasitic worm infection with no plausible clinical connection to opioid use disorder risk factors. The 0% OUD prevalence among 49 patients provides no predictive signal. This infectious disease diagnosis lacks any mechanistic relationship to pain conditions, substance use vulnerabilities, or opioid exposure pathways that would make it relevant for OUD prediction."
B78,0,87,Strongyloidiasis,0,0.9,"Strongyloidiasis is a parasitic infection with no clinically plausible connection to opioid use disorder risk factors. The 0% OUD prevalence among 87 patients provides no predictive signal. This tropical/subtropical parasitic disease is unrelated to pain conditions, substance use vulnerabilities, or opioid exposure pathways that would inform OUD prediction."
B79,0,11,Trichuriasis,0,0.9,"Trichuriasis is a parasitic intestinal infection with no clinically plausible connection to opioid use disorder risk factors. The 0% OUD prevalence among 11 patients provides no predictive signal. This diagnosis relates to parasitic disease rather than pain, substance use vulnerabilities, or other OUD risk pathways, making it uninformative for prediction."
B81,0,32,"Other intestinal helminthiases, not elsewhere classified",0,0.9,"Intestinal helminthiases (parasitic worm infections) have no clinically plausible connection to opioid use disorder risk factors like pain conditions, substance use vulnerabilities, or opioid exposure pathways. With 0% OUD prevalence among 32 patients, there's no statistical signal for predictive value. This infectious disease diagnosis is unrelated to OUD development mechanisms."
B92,0,1,Sequelae of leprosy,0,0.9,"Sequelae of leprosy has no clinically plausible connection to OUD risk factors like pain, substance use, or opioid exposure. With only 1 patient (0% OUD prevalence), there's no statistical signal for predictive value. This rare condition lacks any meaningful biological or clinical pathway that would inform OUD prediction."
C39,0,84,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,1,0.7,"Malignant respiratory neoplasms typically involve significant cancer pain requiring opioid management, creating plausible pathways to OUD risk. While the observed prevalence is 0%, this likely reflects the rarity of the diagnosis (84 patients) rather than lack of association. Cancer-related pain is a well-established risk factor for opioid exposure and potential misuse."
C47,0,165,Malignant neoplasm of peripheral nerves and autonomic nervous system,1,0.7,"Malignant neoplasms of peripheral nerves can cause severe neuropathic pain requiring opioid management, creating legitimate opioid exposure risk. While no OUD cases observed in this small sample (165 patients), the clinical plausibility is strong given cancer pain's association with opioid prescribing. The diagnosis precedes potential OUD onset and represents a valid risk factor rather than consequence."
C63,0,260,Malignant neoplasm of other and unspecified male genital organs,0,0.9,"While malignant neoplasms can involve pain management with opioids, this specific diagnosis shows 0% OUD prevalence among 260 patients, indicating no predictive signal. The complete absence of OUD cases among patients with this diagnosis suggests it provides no discriminative value for the predictive model, despite potential clinical relevance through cancer pain treatment pathways."
D19,0,112,Benign neoplasm of mesothelial tissue,0,0.9,"Benign neoplasm of mesothelial tissue is a rare, specific oncological condition with no clear clinical pathway to OUD risk. With 0% OUD prevalence among 112 patients, it shows no statistical signal for prediction. The diagnosis lacks biological plausibility for opioid use disorder development and provides no meaningful predictive value."
D77,0,6,Other disorders of blood and blood-forming organs in diseases classified elsewhere,0,0.85,"D77 represents blood disorders secondary to other classified diseases, making it a nonspecific manifestation code. With 0% OUD prevalence among 6 patients, it shows no statistical signal for prediction. The diagnosis lacks clinical plausibility for OUD risk as blood disorders are not typically associated with opioid exposure pathways or substance use vulnerabilities."
E00,0,43,Congenital iodine-deficiency syndrome,0,0.9,"Congenital iodine-deficiency syndrome is a rare developmental condition unrelated to pain, substance use, or opioid exposure pathways. With 0% OUD prevalence among 43 patients, it shows no statistical signal for prediction. The condition lacks clinical plausibility for OUD risk and would not contribute meaningful predictive value to the model."
E59,0,21,Dietary selenium deficiency,0,0.9,"Dietary selenium deficiency is a rare nutritional disorder with no clear clinical pathway to OUD risk. With 0% OUD prevalence among 21 patients, there's no statistical signal for predictive value. Selenium deficiency lacks plausible connection to pain conditions, substance use vulnerabilities, or opioid exposure pathways that would make it relevant for OUD prediction."
F78,0,160,Other intellectual disabilities,0,0.8,"While intellectual disabilities may create vulnerabilities to substance use disorders, the complete absence of OUD cases (0/160) among patients with this diagnosis provides no statistical signal for prediction. The 0% prevalence offers no discriminative value for the model, making it uninformative as a predictive feature despite potential clinical plausibility."
H22,0,105,Disorders of iris and ciliary body in diseases classified elsewhere,0,0.9,"H22 represents disorders of iris and ciliary body in diseases classified elsewhere - a highly specific ophthalmologic condition with no clear clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities. With 0% OUD prevalence among 105 patients, it shows no statistical signal for predictive value and lacks biological plausibility for OUD risk prediction."
H28,0,43,Cataract in diseases classified elsewhere,0,0.9,"Cataract in diseases classified elsewhere has no clinically plausible connection to opioid use disorder risk factors like pain, substance use, or related vulnerabilities. With 0% OUD prevalence among 43 patients, it shows no statistical signal for predictive value. This ophthalmologic condition is unrelated to pathways leading to OUD development."
H32,0,80,Chorioretinal disorders in diseases classified elsewhere,0,0.9,"H32 represents chorioretinal disorders secondary to other diseases, with no patients having OUD (0/80, 0% prevalence). This ophthalmologic condition has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities. The complete absence of OUD cases among affected patients provides no predictive signal for future OUD risk."
H67,0,50,Otitis media in diseases classified elsewhere,0,0.9,"Otitis media in diseases classified elsewhere has no plausible clinical connection to OUD risk factors like pain conditions, substance use vulnerabilities, or opioid exposure pathways. With 0% OUD prevalence among 50 patients, it shows no statistical signal for predictive value. This ear infection secondary to other diseases lacks any meaningful association with opioid use disorder development."
H82,0,12,Vertiginous syndromes in diseases classified elsewhere,0,0.8,Vertiginous syndromes in diseases classified elsewhere shows no statistical signal (0% OUD prevalence among 12 patients) and lacks clinical plausibility for predicting OUD risk. This diagnosis represents secondary vertigo symptoms from other conditions and has no clear pathway to opioid exposure or substance use vulnerabilities. The complete absence of OUD cases suggests no predictive value.
I02,0,66,Rheumatic chorea,0,0.9,"Rheumatic chorea is a rare neurological manifestation of rheumatic fever affecting movement control. It has no clinically plausible connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict OUD risk. The 0% OUD prevalence among 66 patients provides no predictive signal. This specific autoimmune/infectious neurological condition lacks any reasonable pathway to OUD prediction."
J64,0,55,Unspecified pneumoconiosis,0,0.8,"Unspecified pneumoconiosis is an occupational lung disease from dust inhalation, with no clear clinical connection to opioid exposure or OUD risk factors. With 0% OUD prevalence among 55 patients, it shows no statistical signal for prediction. The diagnosis relates to occupational hazards rather than pain conditions or substance use vulnerabilities that would increase OUD risk."
K07,0,1,nan,0,0.9,"K07 represents dentofacial anomalies, which have no clinically plausible connection to OUD risk factors like pain, substance use, or opioid exposure. With only 1 patient total and 0% OUD prevalence, there's no statistical signal. Dental/orthodontic conditions are unrelated to addiction vulnerabilities and would not contribute meaningful predictive value for OUD risk."
L26,0,92,Exfoliative dermatitis,0,0.8,"Exfoliative dermatitis has no clear clinical connection to opioid exposure, pain conditions, or substance use vulnerabilities that would predict future OUD risk. With 0% OUD prevalence among 92 patients, there's no statistical signal for predictive value. This dermatological condition appears unrelated to OUD pathways and would likely add noise rather than meaningful predictive information to the model."
L41,0,34,Parapsoriasis,0,0.9,"Parapsoriasis is a rare chronic skin condition with no clear clinical connection to opioid exposure, pain syndromes, or substance use vulnerabilities. With 0% OUD prevalence among 34 patients, it shows no statistical signal for predictive value. The dermatological nature of this condition makes it unlikely to be associated with future OUD risk."
